exchange,uptake
EX_4hphac_e,1000
EX_LalaDgluMdap_e,1000
EX_acnam_e,1000
EX_akg_e,1000
EX_arg__L_e,1000
EX_asn__L_e,1000
EX_bz_e,1000
EX_ca2_e,1000
EX_cit_e,1000
EX_cl_e,1000
EX_cobalt2_e,1000
EX_cu2_e,1000
EX_fe3_e,1000
EX_fol_e,1000
EX_gua_e,1000
EX_hishis_e,1000
EX_hom__L_e,1000
EX_ile__L_e,1000
EX_k_e,1000
EX_leu__L_e,1000
EX_lnlc_e,1000
EX_lys__L_e,1000
EX_malthp_e,1000
EX_metsox_R__L_e,1000
EX_mg2_e,1000
EX_mn2_e,1000
EX_no3_e,1000
EX_o2_e,1000
EX_phe__L_e,1000
EX_pnto__R_e,1000
EX_pro__L_e,1000
EX_ribflv_e,1000
EX_so4_e,1000
EX_thm_e,1000
EX_thr__L_e,1000
EX_trp__L_e,1000
EX_tton_e,1000
EX_ura_e,1000
EX_zn2_e,1000